username,reply_text
Mane,Hol ratio
Lewy,Welcome to the best club in the world
ibrahem altyeb,The ballon d'or of the next season
M,This will come true with Barcelona!
darmo kusumo,Pesaing wak haji karim datang mas @nshrlzzza
Jessewandowski,"Hola! Bienvenido a la casa. de los colores ms bonitos del mundo, donde todos quieren estar, pero pocos tienen el privilegio de entrar, quedarse y brillar..! Te esperamos y recibimos con mucho amor @lewy_official"
Yousef ALibrahim,@abbas020ali   .
Romer Roots.,Son vainas mas o estoy viendo a Messi? @yimmy46 @EllierG01
mariane,eu te amava .
Zuhayr,"Penalties. Tap ins. Ghosting. Diving. Long ago, the four lived together in harmony. Then, everything changed when the Europeans attacked. Only Lewandisney, master of all four elements, could stop them, but when his team needed him most, he vanished."
Pascal Hecker,Hola Lewy  
Furia Cul,HOLAAAAAAAAA ROBERT
Borslord,"Bienvenido al mejor club del mundo, CRACK!!"
