username,reply_text
Inzho,"Witaj Robercie, przepraszam za moje zachowanie w stosunku do Ciebie w cigu ostatnich kilku lat, przepraszam i witam w najlepszym klubie pikarskim. Razem zatriumfujemy, kocham Ci wielki szefie"
Grzegorz Krychowiak,Zapracowane ciesz si
BarcaInfo,Holaaaaa!
Dariusz Joski,Gratulacje Powodzenia!
Mancuer,Soy tuyo
BaraTimes,"Welcome to Bara, Robert !"
Gerard Romero,Hello Joan!
JaviZone,Czesc!
Mane,Hol ratio
Micha,Michniewicz powinien Cie z kadry za to wykluczy
ibrahem altyeb,The ballon d'or of the next season
Charlie,Kaka piga kazi tunakutegemea oo
GR BlackSmith,Hola cara titola!
oscar,benzema>>>>
Lewy,Welcome to the best club in the world
Manu.,Hola guapisimo te quiero mucho
Maria Garrido,Let's go!
ADAM,Bienvenido en Barcelona!
